Nama,Penghasilan(jt),Jumlah Anggota Keluarga,Tingkat Pendidikan,Dinding Rumah,Lantai Rumah,Atap Rumah,Sumber Penerangan(VA),Luas Lantai Rumah(m2),Sumber Mata Air,Pengeluaran Kebutuhan Pangan,Pengobatan Tenaga Medis,Pembelian Pakaian(/tahun),Kecamatan
"Artawan Gunawan, S.Pt",1,6,S3,Kayu,Tanah,Asbes,3.5,< 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan C
Lalita Nuraini,1,0,D3,Bambu,Kayu,Rumbia,0.45,< 8m,Sumur Galian,Sebagian Besar,Mampu,Mampu,Kecamatan C
dr. Ayu Padmasari,9,4,SMA,Kayu,Semen,Genteng,6.6,< 8m,Sumur Galian,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan A
Eja Sitompul,6,7,SMA,Bambu,Keramik,Asbes,6.6,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan C
"T. Anom Zulaika, M.Farm",3,7,S2,Bambu,Semen,Genteng,0.45,> 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Dimas Jailani,2,6,S3,Kayu,Keramik,Genteng,3.5,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan A
Cengkir Mayasari,2,2,SD,Bambu,Kayu,Genteng,1.3,< 8m,Sumur Pompa,Sebagian Kecil,Mampu,Tidak Mampu,Kecamatan B
Maryadi Tarihoran,1,7,S1,Bambu,Keramik,Asbes,6.6,> 8m,Sumur Galian,Sebagian Besar,Mampu,Mampu,Kecamatan B
"Xanana Lestari, S.H.",10,3,SMP,Tembok,Tanah,Genteng,6.6,> 8m,Sumur Galian,Sebagian Besar,Mampu,Mampu,Kecamatan A
"Sutan Prakosa Uwais, S.Gz",7,2,S2,Tembok,Keramik,Asbes,1.3,> 8m,Sumur Resapan,Sebagian Kecil,Mampu,Mampu,Kecamatan B
Gaiman Oktaviani,8,0,S2,Bambu,Tanah,Rumbia,1.3,< 8m,Sumur Pompa,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan B
Azalea Sudiati,1,6,SMP,Kayu,Semen,Asbes,6.6,> 8m,Sumur Bor,Sebagian Besar,Mampu,Tidak Mampu,Kecamatan D
Ir. Citra Sitorus,8,2,D3,Kayu,Kayu,Seng,3.5,< 8m,Sumur Resapan,Sebagian Besar,Mampu,Mampu,Kecamatan B
Sadina Utama,3,5,SMA,Kayu,Tanah,Asbes,0.45,> 8m,Sumur Resapan,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan A
Febi Marbun,3,6,S3,Tembok,Semen,Rumbia,0.45,< 8m,Sumur Bor,Sebagian Besar,Tidak Mampu,Mampu,Kecamatan A
Danang Laksmiwati,5,6,Tidak Sekolah,Kayu,Kayu,Rumbia,0.45,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Tidak Mampu,Kecamatan B
Dr. Galih Permadi,8,0,S3,Bambu,Keramik,Seng,6.6,< 8m,Sumur Bor,Sebagian Kecil,Tidak Mampu,Mampu,Kecamatan C
